,ID_x,URL_x,ORTHO_c,ID_y,URL_y,ORTHO_n
0,1057699291865,https://nrcs.app.box.com/v/naip/file/1057699291865,ortho_1-1_hc_s_ca071_2022_1.zip,1057588704506,https://nrcs.app.box.com/v/naip/file/1057588704506,ortho_1-1_hn_s_ca071_2022_1.zip
1,1057699248882,https://nrcs.app.box.com/v/naip/file/1057699248882,ortho_1-1_hc_s_ca111_2022_1.zip,1057584166285,https://nrcs.app.box.com/v/naip/file/1057584166285,ortho_1-1_hn_s_ca111_2022_1.zip
2,1057693042742,https://nrcs.app.box.com/v/naip/file/1057693042742,ortho_1-1_hc_s_ca115_2022_1.zip,1057585908970,https://nrcs.app.box.com/v/naip/file/1057585908970,ortho_1-1_hn_s_ca115_2022_1.zip
3,1057693010946,https://nrcs.app.box.com/v/naip/file/1057693010946,ortho_1-1_hc_s_ca107_2022_1.zip,1057585162362,https://nrcs.app.box.com/v/naip/file/1057585162362,ortho_1-1_hn_s_ca107_2022_1.zip
4,1057693308094,https://nrcs.app.box.com/v/naip/file/1057693308094,ortho_1-1_hc_s_ca105_2022_1.zip,1057591723529,https://nrcs.app.box.com/v/naip/file/1057591723529,ortho_1-1_hn_s_ca105_2022_1.zip
5,1057691395874,https://nrcs.app.box.com/v/naip/file/1057691395874,ortho_1-1_hc_s_ca113_2022_1.zip,1057589762621,https://nrcs.app.box.com/v/naip/file/1057589762621,ortho_1-1_hn_s_ca113_2022_1.zip
6,1057698329214,https://nrcs.app.box.com/v/naip/file/1057698329214,ortho_1-1_hc_s_ca109_2022_1.zip,1057585604231,https://nrcs.app.box.com/v/naip/file/1057585604231,ortho_1-1_hn_s_ca109_2022_1.zip
7,1057691870865,https://nrcs.app.box.com/v/naip/file/1057691870865,ortho_1-1_hc_s_ca103_2022_1.zip,1057579587350,https://nrcs.app.box.com/v/naip/file/1057579587350,ortho_1-1_hn_s_ca103_2022_1.zip
8,1057684471598,https://nrcs.app.box.com/v/naip/file/1057684471598,ortho_1-1_hc_s_ca093_2022_1.zip,1057571933913,https://nrcs.app.box.com/v/naip/file/1057571933913,ortho_1-1_hn_s_ca093_2022_1.zip
9,1057688088329,https://nrcs.app.box.com/v/naip/file/1057688088329,ortho_1-1_hc_s_ca099_2022_1.zip,1057571993356,https://nrcs.app.box.com/v/naip/file/1057571993356,ortho_1-1_hn_s_ca099_2022_1.zip
10,1057690570620,https://nrcs.app.box.com/v/naip/file/1057690570620,ortho_1-1_hc_s_ca083_2022_1.zip,1057574068961,https://nrcs.app.box.com/v/naip/file/1057574068961,ortho_1-1_hn_s_ca101_2022_1.zip
